Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,,
Africa Eastern and Southern,AFE,2.5866E+11,2.64708E+11,3.52443E+11,4.38565E+11,5.11898E+11,5.75569E+11,6.60774E+11,7.07853E+11,7.12054E+11,8.4681E+11,9.42711E+11,9.49849E+11,9.6356E+11,9.83749E+11,9.18647E+11,8.72023E+11,9.84256E+11,1.01172E+12,1.00838E+12,9.18815E+11
Afghanistan,AFG,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109305183,12416161049,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326
Africa Western and Central,AFW,1.48012E+11,1.76933E+11,2.04642E+11,2.5409E+11,3.10554E+11,3.93297E+11,4.61778E+11,5.66426E+11,5.06996E+11,5.91583E+11,6.70963E+11,7.27571E+11,8.20788E+11,8.51487E+11,7.6073E+11,6.90543E+11,6.83742E+11,7.41692E+11,7.94572E+11,7.84588E+11
Angola,AGO,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,1.1179E+11,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11,1.01353E+11,89417190341,58375976293
Albania,ALB,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15400242875,14887629268
Andorra,AND,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488,
Arab World,ARB,7.98335E+11,8.02951E+11,8.87663E+11,1.05602E+12,1.29762E+12,1.53282E+12,1.78913E+12,2.25368E+12,1.97389E+12,2.30259E+12,2.49155E+12,2.72899E+12,2.78752E+12,2.81861E+12,2.45201E+12,2.40096E+12,2.45507E+12,2.71793E+12,2.7632E+12,2.43629E+12
United Arab Emirates,ARE,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.89787E+11,3.50666E+11,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.85606E+11,4.22215E+11,4.17216E+11,3.58869E+11
Argentina,ARG,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.43629E+11,5.2482E+11,4.51932E+11,3.89288E+11
Armenia,ARM,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13619291361,12641209802
American Samoa,ASM,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,648000000,709000000
Antigua and Barbuda,ATG,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605944444,1687533333,1370281481
Australia,AUS,3.79084E+11,3.95343E+11,4.67391E+11,6.14166E+11,6.95075E+11,7.47556E+11,8.53955E+11,1.05513E+12,9.28043E+11,1.14759E+12,1.39791E+12,1.54651E+12,1.57634E+12,1.4675E+12,1.35053E+12,1.20669E+12,1.32688E+12,1.42853E+12,1.39195E+12,1.32784E+12
Austria,AUT,1.97338E+11,2.13378E+11,2.61696E+11,3.00904E+11,3.15974E+11,3.35999E+11,3.88691E+11,4.30294E+11,4.00172E+11,3.91893E+11,4.3112E+11,4.09425E+11,4.30069E+11,4.41996E+11,3.81818E+11,3.95569E+11,4.1623E+11,4.54946E+11,4.45012E+11,4.33258E+11
Azerbaijan,AZE,5707720391,6235856820,7276753895,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52909294792,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48174235294,42607176471
Burundi,BDI,876794723.1,825394490.2,784654423.6,915257323.4,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2732808557,2748180474,2668495743,2631434363,2841786382
Belgium,BEL,2.36541E+11,2.57158E+11,3.17382E+11,3.68537E+11,3.85571E+11,4.07918E+11,4.70324E+11,5.15224E+11,4.81346E+11,4.80952E+11,5.22646E+11,4.96181E+11,5.21643E+11,5.34678E+11,4.6215E+11,4.7574E+11,5.01523E+11,5.43008E+11,5.35289E+11,5.21861E+11
Benin,BEN,3666222600,4194342849,5349258334,6190270756,6567654494,7034111651,8169048690,9787735426,9738626993,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701654743,14262407012,14391686633,15651545332
Burkina Faso,BFA,3190371050,3622350204,4740768355,5451688868,6146352742,6547420134,7625723124,9451436359,9450697336,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,15890065020,16178162030,17933606353
